8.1G	The Nun II (2023)
4.8G	The Old Guard (2020)
4.8G	The Old Guard 2 (2025)
1.4G	The Pope's Exorcist (2023)
7.0G	The Prestige (2006)
6.1G	The Purge (2013)
3.4G	The Purge꞉ Anarchy (2014)
3.6G	The Purge꞉ Election Year (2016)
7.9G	The Super Mario Bros. Movie (2023)
3.0G	The Taking of Pelham 123 (2009)
9.6G	The Time Traveler's Wife (2009)
9.0G	The Tomorrow War (2021)
2.4G	The Unholy (2021)
3.9G	The Warriorr (2022)
8.3G	The Way Back (2020)
2.7G	The Wolverine (2013) [EXTENDED CUT]
4.4G	Thimmarusu (2021)
2.2G	Thiru (2022)
7.8G	Tholi Prema (2018)
5.1G	Thor (2011)
6.0G	Thor꞉ Love and Thunder (2022)
2.7G	Thor꞉ Ragnarok (2017)
4.2G	Thudarum (2025)
7.5G	Thug Life (2025)
9.5G	Thunderbolts - The New Avengers (2025)
5.0G	Thuppakki (2012)
5.3G	Ticket To Paradise (2022)
3.2G	Tiger Nageswara Rao (2023)
2.2G	Tom and Jerry (2021)
4.1G	Tomb Raider (2018)
11G	Top Gun꞉ Maverick (2022)
3.2G	Tourist Family (2025)
16G	Transformers 4꞉ Age of Extinction (2014)
2.7G	Transformers 5∶ The Last Knight (2017)
2.3G	Transformers 7∶ Rise of the Beasts (2023)
8.0G	TRAP (2024)
6.5G	True Memoirs of an International Assassin (2016)
3.1G	Tu Jhoothi Main Makkar (2023)
4.1G	Tuck Jagadish (2021)
7.4G	Twilight (2009)
6.2G	Twister (1996)
4.8G	Twisters (2024)
7.7G	U Turn (2018)
5.8G	Uncharted (2022)
2.0G	Unhinged (2020)
2.3G	Unstoppable (2010)
7.0G	Upgrade (2018)
5.0G	Uppena (2021)
4.4G	V (2020)
4.3G	Vaarasudu (2023)
16G	Vakeel Saab (2021)
4.2G	Vanakkam Chennai (2013)
5.3G	Varudu (2010)
3.2G	Varudu Kaavalenu (2021)
13G	Vedam (2010)
4.2G	Veera Simha Reddy (2023)
3.3G	Venom (2018)
4.1G	Venom 2∶ Let There Be Carnage (2021)
7.2G	Venom 3∶ The Last Dance (2024)
12G	Vettaiyan꞉ The Hunter (2024)
8.6G	Vikram (2022)
2.1G	Vikrant Rona (2022)
3.6G	Vinaro Bhagyamu Vishnu Katha (2023)
2.3G	Virupaksha (2023)
3.3G	Vunnadhi Okate Zindagi (2017)
3.0G	Waltair Veerayya (2023)
2.4G	Whiplash (2014)
2.6G	Wild Dog (2021)
3.9G	Winner (2017)
2.7G	Wonder Woman (2017)
4.2G	Wonder Woman 1984 (2020)
5.1G	World Famous Lover (2020)
6.6G	World War Z (2013) [UNRATED CUT]
5.1G	X2꞉ X-Men United (2003)
8.9G	X-Men (2000)
5.0G	X-Men Origins꞉ Wolverine (2009)
2.8G	X-Men꞉ Apocalypse (2016)
7.5G	X-Men꞉ Days of Future Past (2014) [ROGUE CUT]
2.9G	X-Men꞉ First Class (2011)
6.1G	X-Men꞉ The Last Stand (2006)
6.2G	Yeh Jawaani Hai Deewani (2013)
10G	Yeto Vellipoyindhi Manasu (2012)
8.3G	Yevade Subramanyam (2015)
5.5G	Yevadu (2014)
3.1G	Zodiac (2007)
